,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
204, ,1,1, , , ,0,4
205,7,1,1, , , , ,4
206,4,1,2, , , , ,12
207,5,2, ,2,2,2, ,8
208,8,1,1, , , , ,12
209,5,1,2, , , , ,9
210, ,1,1, , , , ,7
211,10,1,1, , , , ,10
212,10,1,1, , , , ,3
213,4,1,1, , , ,12,10
214, ,1,1, , , , ,11
215,9,1,1, , , , ,8
216,6,1,1, , , , ,12
217, ,1,1, , , , ,2
218,3,1,2, , , , ,12
219, ,2, ,2,2,2, ,11
220,10,1,1, , , , ,6
221, ,1,1, , , ,3,12
222,10,1,2, , , , ,9
223,10,1,1, , , ,7,10
224,6,1,1, , , , ,12
225,5,1,1, , , , ,9
226, ,1,1, , , , ,12
227,5,1,2, , , , ,8
228,10,1,2, , , , ,10
229,3,1,1, , , ,11,8
230,1,1,2, , , , ,10
231,1,1,1, , , , ,14
232,1,1,1, , , , ,8
233,10,1,1, , , , ,7
234,6,1,1, , , , ,8
235, ,1,1, , , , ,10
236, ,1,1, , , , ,10
237,6,1,1, , , , ,8
238,6,1,1, , , , ,14
239,1,1,1, , , ,12,10
240,1,1,1, , , , ,13
241, ,1,9, , , , ,10
242,10,1,1, , , , ,9
243,9,1,2, , , , ,8
244,7,1,1, , , , ,8
245,6,1,1, , , ,10,10
246, ,1,1, , , , ,4
247,5,1,2, , , , ,7
248,6,1,1, , , , ,10
249, ,1,1, , , , ,10
250,10,1,1, , , , ,2
251,7,1,1, , , , ,6
252,4,1,1, , , , ,12
253,9,1,1, , , , ,12
254,5,1,1, , , , ,7
255,10,1,1, , , , ,10
256,10,1,1, , , , ,11
257,3,1,1, , , ,17,11
258,1,2, ,1,2,2, ,10
259, ,1,1, , , , ,4
260, ,1,1, , , , ,14
261,3,1,2, , , , ,10
262,1,1,1, , , , ,12
263, ,1,1, , , ,99,5
264, ,1,1, , , , ,10
265,7,1,1, , , ,15,11
266,2,1,1, , , , ,7
267,1,1,1, , , , ,8
268, ,1,1, , , , ,10
269,8,1,1, , , , ,7
270, ,1,1, , , , ,4
271, ,1,2, , , , ,8
272, ,2, ,2,2,2, ,1
273,6,1,1, , , , ,7
274, ,1,1, , , , ,6
275, ,2, ,2,2,2, ,12
276, ,9, ,9,9,9, ,2
277,10,1,1, , , , ,5
278,1,1,2, , , , ,7
279, ,1,1, , , , ,10
280,5,1,1, , , ,7,12
281, ,1,1, , , , ,12
282,10,1,1, , , , ,10
283,7,1,1, , , , ,12
284,9,1,1, , , , ,8
285,9,1,1, , , , ,10
286, ,1,1, , , , ,9
287,7,1,1, , , , ,10
288,5,1,1, , , , ,14
289, ,1,1, , , , ,4
290,5,1,1, , , ,9,6
291,6,1,1, , , ,12,8
292, ,1,1, , , , ,10
293,5,1,1, , , , ,8
294, ,1,2, , , , ,8
295, ,1,1, , , , ,8
296,3,1,1, , , , ,12
297,10,1,1, , , , ,14
298,7,1,1, , , , ,7
299,1,1,1, , , , ,10
300,99,1,1, , , , ,8
301,10,1,1, , , , ,13
302,10,1,1, , , , ,4
303,10,1,1, , , , ,12
304, ,1,1, , , , ,8
305,7,1,1, , , , ,12
306,7,1,1, , , , ,8
307,5,1,1, , , , ,8
308,1,1,2, , , , ,6
309, ,1,1, , , , ,8
310,4,1,1, , , , ,12
311,4,1,1, , , ,4,12
312,5,1,2, , , , ,10
313,7,1,1, , , , ,12
314,8,1,2, , , , ,10
315,10,1,1, , , , ,8
316, ,1,2, , , , ,13
317,2,1,1, , , , ,8
318,4,1,1, , , , ,14
319,1,1,1, , , ,11,10
320, ,9, ,9,9,9, ,8
321,7,1,1, , , , ,10
322,4,1,9, , , , ,4
323,2,1,1, , , , ,10
324,4,1,2, , , , ,12
325,99,9, ,9,9,9, ,7
326,10,1,1, , , , ,10
327,3,1,2, , , , ,8
328, ,1,1, , , , ,10
329,2,1,1, , , ,16,8
330,4,1,1, , , , ,10
331,3,1,1, , , , ,10
